jeremie@espresso:~/mscthesis/jmiserez/sdns/commutativity$ ./test.py 
Pass. intersects.
Pass. intersects.
Pass. intersects.
Pass. does not intersect.
Pass. is not a subset.
Pass. is not a subset.
Pass. is subset.
Pass. is not a subset.
205/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
206/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
207/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
208/1360: Pass. commutes. Rules added/removed: (+1/-0, +1/-0) vs.(+1/-0, +1/-0)
209/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
210/1360: Fail (impreciseness). commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
211/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
212/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
213/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
214/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
215/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-1, +1/-0)
216/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
217/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
218/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
219/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
220/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
221/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
222/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
223/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-1, +1/-0)
224/1360: Fail (impreciseness). commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
225/1360: Fail (impreciseness). commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
226/1360: Fail (impreciseness). commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
227/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
228/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
229/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
230/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
231/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-1, +1/-0)
232/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
233/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-1, +1/-0)
234/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
235/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
236/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
237/1360: Pass. commutes. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-0, +1/-0)
238/1360: Pass. commutes. Rules added/removed: (+0/-0, +0/-0) vs.(+0/-0, +0/-0)
239/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-1, +1/-0)
240/1360: Pass. does not commute. Rules added/removed: (+0/-0, +1/-0) vs.(+0/-1, +1/-0)
241/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
242/1360: Pass. does not commute. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
243/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
244/1360: Pass. commutes. Rules added/removed: (+1/-0, +0/-0) vs.(+1/-0, +0/-0)
